subject,hemi,mask,annotated_feature,correlation
sub-08,left,MT,valence,-0.04914733108923763
sub-08,left,MT,arousal,0.005233974615908428
sub-08,left,MT,pitch,0.009285703169558174
sub-08,left,MT,amplitude,0.0017267796842506367
sub-08,left,MT,music,-0.005716798303586809
sub-08,left,MT,speaking,-0.010012894380469844
sub-08,left,MT,turn_taking,-0.006160105922240833
sub-08,left,MT,mentalization,-0.012398548891970304
sub-08,left,MT,written_text,0.005847814013462126
sub-08,right,MT,pixel,0.017171435889109965
sub-08,right,MT,hue,-0.016192259167183722
sub-08,right,MT,face,-0.0018880653826881368
sub-08,right,MT,num_agents,-0.00382059485106051
sub-08,right,MT,social,0.006179012632418118
sub-08,right,MT,valence,0.02623371710603129
sub-08,right,MT,arousal,8.611097248044901e-06
sub-08,right,MT,pitch,-0.016554012103567536
sub-08,right,MT,amplitude,-0.004363977435379104
sub-08,right,MT,music,-0.019757261662326418
sub-08,right,MT,speaking,0.010984867823255742
sub-08,right,MT,turn_taking,0.007781544666987825
sub-08,right,MT,mentalization,-0.016877762101337315
sub-08,right,MT,written_text,-0.00422080749070621
sub-08,left,STS,pixel,-0.030511639014248144
sub-08,left,STS,hue,0.01368344610397681
sub-08,left,STS,face,0.02161119826221515
sub-08,left,STS,num_agents,0.0060460926176709425
sub-08,left,STS,social,0.025927692192403404
sub-08,left,STS,valence,0.0063742986950896
sub-08,left,STS,arousal,0.03379648285671822
sub-08,left,STS,pitch,0.015870452297470226
sub-08,left,STS,amplitude,0.013236076147406
sub-08,left,STS,music,0.01425767163543839
sub-08,left,STS,speaking,0.0230665119752674
sub-08,left,STS,turn_taking,0.017636659703919755
sub-08,left,STS,mentalization,0.02050111330248813
sub-08,left,STS,written_text,0.007843350292483205
sub-08,right,STS,pixel,0.014287557034177887
sub-08,right,STS,hue,0.0020156777198946686
sub-08,right,STS,face,0.01246315329082022
sub-08,right,STS,num_agents,-0.007442729795155727
sub-08,right,STS,social,0.018667978140513124
sub-08,right,STS,valence,-0.007305698924244656
sub-08,right,STS,arousal,0.010788695424651348
sub-08,right,STS,pitch,-0.0015133639445468418
sub-08,right,STS,amplitude,-0.009110474575796307
sub-08,right,STS,music,-0.007675011406913062
sub-08,right,STS,speaking,0.02004707773084565
sub-08,right,STS,turn_taking,0.017174533429930288
sub-08,right,STS,mentalization,-0.0018122621078549923
sub-08,right,STS,written_text,-0.005233143349479819
sub-09,left,MT,pixel,0.016675661781801295
sub-09,left,MT,hue,0.007389569736932446
sub-09,left,MT,face,-0.018384027344078457
sub-09,left,MT,num_agents,0.00034227871153576884
sub-09,left,MT,social,-0.020621249083353433
