,subject,annotated_feature,region,method,score
329,sub-23,valence,STS,cca,0.19706147398820456
330,sub-23,valence,temporal,cca,0.1454575908263175
331,sub-23,valence,frontal,cca,0.16487136425711682
332,sub-23,arousal,MT,cca,-0.08216331892035271
333,sub-23,arousal,STS,cca,0.06888210688522259
334,sub-23,arousal,temporal,cca,-0.06097894025575361
335,sub-23,arousal,frontal,cca,0.07757350110176371
336,sub-23,pitch,MT,cca,0.07164512336041584
337,sub-23,pitch,STS,cca,0.019580245957265884
338,sub-23,pitch,temporal,cca,0.05388687516886943
339,sub-23,pitch,frontal,cca,-0.04068248169501691
340,sub-23,amplitude,MT,cca,-0.06427229088568454
341,sub-23,amplitude,STS,cca,0.11528192126946032
342,sub-23,amplitude,temporal,cca,0.10730687418564559
343,sub-23,amplitude,frontal,cca,0.026785385099333058
344,sub-23,music,MT,cca,-0.03501648979915686
345,sub-23,music,STS,cca,-0.04476051802566276
346,sub-23,music,temporal,cca,-0.02148549180929902
347,sub-23,music,frontal,cca,0.0576213070997051
348,sub-23,speaking,MT,cca,-0.03627730649162
349,sub-23,speaking,STS,cca,0.11809794118026837
350,sub-23,speaking,temporal,cca,0.06875951379232212
351,sub-23,speaking,frontal,cca,0.1068849005344116
352,sub-23,turn taking,MT,cca,0.027583362729955697
353,sub-23,turn taking,STS,cca,0.09374250404163775
354,sub-23,turn taking,temporal,cca,0.08187149165233092
355,sub-23,turn taking,frontal,cca,0.08576869430677739
356,sub-23,mentalization,MT,cca,0.05519510519433459
357,sub-23,mentalization,STS,cca,0.08805942203904285
358,sub-23,mentalization,temporal,cca,-0.09168852397776332
359,sub-23,mentalization,frontal,cca,0.12502743915736453
360,sub-23,written text,MT,cca,0.037448348477413206
361,sub-23,written text,STS,cca,0.04292406932607458
362,sub-23,written text,temporal,cca,0.029111527781262803
363,sub-23,written text,frontal,cca,0.04110498703936738
364,sub-25,pixel,MT,cca,0.1334150486866604
365,sub-25,pixel,STS,cca,0.017573662372098165
366,sub-25,pixel,temporal,cca,0.15032735065270758
367,sub-25,pixel,frontal,cca,0.059402823976888765
368,sub-25,hue,MT,cca,-0.04280649550327718
369,sub-25,hue,STS,cca,0.1313151086151509
370,sub-25,hue,temporal,cca,0.06345402471648284
371,sub-25,hue,frontal,cca,0.05856673829084671
372,sub-25,face,MT,cca,0.04041136102477631
373,sub-25,face,STS,cca,0.09005044676805292
374,sub-25,face,temporal,cca,0.1654557211013219
375,sub-25,face,frontal,cca,0.023725998926405634
376,sub-25,number of agents,MT,cca,0.015347818447408023
377,sub-25,number of agents,STS,cca,-0.03342913222135398
378,sub-25,number of agents,temporal,cca,0.01793016920508428
379,sub-25,number of agents,frontal,cca,0.024483048055534407
380,sub-25,social,MT,cca,0.05932009864627843
381,sub-25,social,STS,cca,0.09628164618424742
382,sub-25,social,temporal,cca,0.09202668617194525
383,sub-25,social,frontal,cca,0.06447419156550109
384,sub-25,valence,MT,cca,0.0965913488692816
385,sub-25,valence,STS,cca,0.060152822494144866
386,sub-25,valence,temporal,cca,0.2042196939584071
387,sub-25,valence,frontal,cca,0.15037019018004014
388,sub-25,arousal,MT,cca,-0.08216331892035271
389,sub-25,arousal,STS,cca,0.032283693196149744
390,sub-25,arousal,temporal,cca,0.021159422265517813
391,sub-25,arousal,frontal,cca,-0.060693426674919324
392,sub-25,pitch,MT,cca,0.07164512336041584
393,sub-25,pitch,STS,cca,-0.07394721583737116
394,sub-25,pitch,temporal,cca,0.010173755198288559
395,sub-25,pitch,frontal,cca,-0.04398833323263431
396,sub-25,amplitude,MT,cca,-0.06427229088568454
397,sub-25,amplitude,STS,cca,-0.08939590863757678
398,sub-25,amplitude,temporal,cca,0.001833352477809269
399,sub-25,amplitude,frontal,cca,-0.03275334395685181
400,sub-25,music,MT,cca,-0.03501648979915686
401,sub-25,music,STS,cca,-0.02814022617805172
402,sub-25,music,temporal,cca,0.06323505391878541
403,sub-25,music,frontal,cca,0.052697581719062844
404,sub-25,speaking,MT,cca,-0.03627730649162
405,sub-25,speaking,STS,cca,0.0983774433187616
406,sub-25,speaking,temporal,cca,0.09171936873250641
407,sub-25,speaking,frontal,cca,0.01815359383168811
408,sub-25,turn taking,MT,cca,0.027583362729955697
409,sub-25,turn taking,STS,cca,0.033264551471519875
410,sub-25,turn taking,temporal,cca,0.07962483069967682
411,sub-25,turn taking,frontal,cca,-0.05558213577237978
412,sub-25,mentalization,MT,cca,0.05519510519433459
413,sub-25,mentalization,STS,cca,0.08208425184282109
414,sub-25,mentalization,temporal,cca,0.09183658029792277
415,sub-25,mentalization,frontal,cca,-0.007425337544291111
416,sub-25,written text,MT,cca,0.037448348477413206
417,sub-25,written text,STS,cca,0.01075439009938659
418,sub-25,written text,temporal,cca,0.04597569038087366
419,sub-25,written text,frontal,cca,0.03225176511923635
420,sub-26,pixel,MT,cca,0.08866213338379976
421,sub-26,pixel,STS,cca,0.08688902963261409
422,sub-26,pixel,temporal,cca,-0.05188522531348623
423,sub-26,pixel,frontal,cca,0.20020632915825737
424,sub-26,hue,MT,cca,0.04067985442119828
425,sub-26,hue,STS,cca,0.012841356601955711
426,sub-26,hue,temporal,cca,-0.019703023571371346
427,sub-26,hue,frontal,cca,0.013054655979041475
428,sub-26,face,MT,cca,0.07232798366929619
429,sub-26,face,STS,cca,0.040252149243572254
430,sub-26,face,temporal,cca,0.06103584923196488
431,sub-26,face,frontal,cca,0.03839942966888712
432,sub-26,number of agents,MT,cca,0.012145544012827992
433,sub-26,number of agents,STS,cca,0.042075413101531935
434,sub-26,number of agents,temporal,cca,0.060711260061529604
435,sub-26,number of agents,frontal,cca,0.05827726001481839
436,sub-26,social,MT,cca,0.09303812970596925
437,sub-26,social,STS,cca,0.07086806802374176
438,sub-26,social,temporal,cca,-0.019429903282239702
439,sub-26,social,frontal,cca,-0.09044808694892856
440,sub-26,valence,MT,cca,0.10211185799051217
441,sub-26,valence,STS,cca,0.05692795351064752
442,sub-26,valence,temporal,cca,0.06673810883132854
443,sub-26,valence,frontal,cca,0.08696174586774619
444,sub-26,arousal,MT,cca,0.06539774734238828
445,sub-26,arousal,STS,cca,0.11289103295368581
446,sub-26,arousal,temporal,cca,0.03515885239570329
447,sub-26,arousal,frontal,cca,0.06090389981433988
448,sub-26,pitch,MT,cca,0.04647810391170999
449,sub-26,pitch,STS,cca,0.06649400194825303
450,sub-26,pitch,temporal,cca,-0.015504048171308816
