,subject,name1,name2,names,name1_measure,name2_measure,name1_model,name2_model,mask1,mask2,hemi,total_voxels1,total_voxels2,total_voxels,voxels1_only,voxels2_only,voxels_overlap,DICE_coef,proportion_of_voxels1_in_this_hemi,proportion_of_voxels2_in_this_hemi,proportion_of_all_voxels_in_this_hemi,proportion_of_overlap_in_this_hemi,proportion_of_1_that_is_also_2,proportion_of_2_that_is_also_1,proportion_of_voxels_that_is_voxels1,proportion_of_voxels_that_is_voxels2,proportion_of_voxels_that_is_overlap
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,sub-06,interact-no_interact,interact-no_interact,interact-no_interact-SIpointlights_interact-no_interact-SIpointlights,SIpointlights,SIpointlights,glm,glm,aSTS,aSTS,all,125,125,250,0,0,125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
16,sub-06,interact-no_interact,interact-no_interact,interact-no_interact-SIpointlights_interact-no_interact-SIpointlights,SIpointlights,SIpointlights,glm,glm,aSTS,aSTS,left,10,10,20,0,0,10,1.0,0.08,0.08,0.08,0.08,1.0,1.0,0.0,0.0,0.5
17,sub-06,interact-no_interact,interact-no_interact,interact-no_interact-SIpointlights_interact-no_interact-SIpointlights,SIpointlights,SIpointlights,glm,glm,aSTS,aSTS,right,115,115,230,0,0,115,1.0,0.92,0.92,0.92,0.92,1.0,1.0,0.0,0.0,0.5
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,sub-07,interact-no_interact,interact-no_interact,interact-no_interact-SIpointlights_interact-no_interact-SIpointlights,SIpointlights,SIpointlights,glm,glm,aSTS,aSTS,all,125,125,250,0,0,125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
