subject,annotated_feature,region,method,score
sub-16,turn taking,MT,cca,0.02758336272995563
sub-16,turn taking,STS,cca,-0.029444798253375936
sub-16,mentalization,MT,cca,0.05519510519433415
sub-16,mentalization,STS,cca,0.028418947292445963
sub-16,written text,MT,cca,0.03744834847741305
sub-16,written text,STS,cca,-0.06516545084920533
sub-19,pixel,MT,cca,0.13341504868666046
sub-19,pixel,STS,cca,0.08367090469286906
sub-19,pixel,temporal,cca,0.07985860901688428
sub-19,pixel,frontal,cca,-0.06502077744312698
sub-19,hue,MT,cca,-0.04280649550327727
sub-19,hue,STS,cca,0.03948599944857405
sub-19,hue,temporal,cca,0.08014628073663096
sub-19,hue,frontal,cca,0.11376451113687022
sub-19,face,MT,cca,0.04041136102477616
sub-19,face,STS,cca,0.0188256389764462
sub-19,face,temporal,cca,0.08189066663454839
sub-19,face,frontal,cca,0.01780498854907182
sub-19,number of agents,MT,cca,0.015347818447407558
sub-19,number of agents,STS,cca,0.07493179572217165
sub-19,number of agents,temporal,cca,0.04497177900192693
sub-19,number of agents,frontal,cca,0.05720652534724806
sub-19,social,MT,cca,0.05932009864627863
sub-19,social,STS,cca,0.016437209782471585
sub-19,social,temporal,cca,0.03895278231124677
sub-19,social,frontal,cca,0.05266569323883401
sub-19,valence,MT,cca,0.09659134886928164
sub-19,valence,STS,cca,0.17481356559983707
sub-19,valence,temporal,cca,0.16532355304148863
sub-19,valence,frontal,cca,0.118222303749668
sub-19,arousal,MT,cca,-0.08216331892035225
sub-19,arousal,STS,cca,0.000531746231440433
sub-19,arousal,temporal,cca,-0.13771545276891767
sub-19,arousal,frontal,cca,-0.07433982587854704
sub-19,pitch,MT,cca,0.07164512336041592
sub-19,pitch,STS,cca,0.041443143023613536
sub-19,pitch,temporal,cca,-0.005219346512107159
sub-19,pitch,frontal,cca,-0.002057327529670183
sub-19,amplitude,MT,cca,-0.06427229088568458
sub-19,amplitude,STS,cca,-0.01397129481564292
sub-19,amplitude,temporal,cca,0.019055337769424564
sub-19,amplitude,frontal,cca,-0.007394849371206292
sub-19,music,MT,cca,-0.03501648979915637
sub-19,music,STS,cca,0.041727265903232745
sub-19,music,temporal,cca,0.045263422795993824
sub-19,music,frontal,cca,-0.002358894947515955
sub-19,speaking,MT,cca,-0.03627730649162027
sub-19,speaking,STS,cca,0.021095167921795645
sub-19,speaking,temporal,cca,-0.0031650853755167407
sub-19,speaking,frontal,cca,0.06889689202598559
sub-19,turn taking,MT,cca,0.02758336272995563
sub-19,turn taking,STS,cca,-0.02207436598075376
sub-19,turn taking,temporal,cca,0.04340051934525992
sub-19,turn taking,frontal,cca,0.06836782788637527
sub-19,mentalization,MT,cca,0.05519510519433415
sub-19,mentalization,STS,cca,0.0816577406390973
sub-19,mentalization,temporal,cca,-0.02645324469215604
sub-19,mentalization,frontal,cca,0.03279315760648949
sub-19,written text,MT,cca,0.03744834847741305
sub-19,written text,STS,cca,-0.0636657201190666
sub-19,written text,temporal,cca,0.06605734863409914
sub-19,written text,frontal,cca,0.05332187090579965
sub-23,pixel,MT,cca,0.13341504868666046
sub-23,pixel,STS,cca,0.1585193915426649
sub-23,pixel,temporal,cca,-0.026919503356480745
sub-23,pixel,frontal,cca,0.14219935288777888
sub-23,hue,MT,cca,-0.04280649550327727
sub-23,hue,STS,cca,0.022039415574860687
sub-23,hue,temporal,cca,0.012427841612542779
sub-23,hue,frontal,cca,-0.00013300153583497564
sub-23,face,MT,cca,0.04041136102477616
sub-23,face,STS,cca,0.18377296954737293
sub-23,face,temporal,cca,0.05973895811098353
sub-23,face,frontal,cca,0.1756218065721818
sub-23,number of agents,MT,cca,0.015347818447407558
sub-23,number of agents,STS,cca,-0.03384413525970824
sub-23,number of agents,temporal,cca,-0.029870520867344385
sub-23,number of agents,frontal,cca,0.03053255658747629
sub-23,social,MT,cca,0.05932009864627863
sub-23,social,STS,cca,0.11728203000847959
sub-23,social,temporal,cca,0.08811115881193828
sub-23,social,frontal,cca,0.1451316992118723
sub-23,valence,MT,cca,0.09659134886928164
sub-23,valence,STS,cca,0.1972537109325731
sub-23,valence,temporal,cca,0.14539616412790063
sub-23,valence,frontal,cca,0.1672812495965666
sub-23,arousal,MT,cca,-0.08216331892035225
sub-23,arousal,STS,cca,0.0683198861265338
sub-23,arousal,temporal,cca,-0.060591147996678106
sub-23,arousal,frontal,cca,0.07753039973491652
sub-23,pitch,MT,cca,0.07164512336041592
sub-23,pitch,STS,cca,0.0249583191792609
sub-23,pitch,temporal,cca,0.05258336504726273
sub-23,pitch,frontal,cca,-0.04051790964371218
sub-23,amplitude,MT,cca,-0.06427229088568458
sub-23,amplitude,STS,cca,0.11528192126946028
sub-23,amplitude,temporal,cca,0.10744026342547466
sub-23,amplitude,frontal,cca,0.028755531838461225
sub-23,music,MT,cca,-0.03501648979915637
sub-23,music,STS,cca,-0.041444582546569464
sub-23,music,temporal,cca,-0.021420906164498366
sub-23,music,frontal,cca,0.0613546086943465
sub-23,speaking,MT,cca,-0.03627730649162027
sub-23,speaking,STS,cca,0.11809794118026833
sub-23,speaking,temporal,cca,0.06925220670318488
sub-23,speaking,frontal,cca,0.10688490053441138
sub-23,turn taking,MT,cca,0.02758336272995563
sub-23,turn taking,STS,cca,0.0941810219414783
sub-23,turn taking,temporal,cca,0.08182023410648778
sub-23,turn taking,frontal,cca,0.08576869430677769
sub-23,mentalization,MT,cca,0.05519510519433415
sub-23,mentalization,STS,cca,0.09467924986549767
sub-23,mentalization,temporal,cca,-0.09143907432023299
sub-23,mentalization,frontal,cca,0.12487792576507131
sub-23,written text,MT,cca,0.03744834847741305
sub-23,written text,STS,cca,0.04803729045713512
sub-23,written text,temporal,cca,0.029709462458484735
sub-23,written text,frontal,cca,0.04395736279401772
sub-25,pixel,MT,cca,0.13341504868666046
sub-25,pixel,STS,cca,0.040519537903948064
sub-25,pixel,temporal,cca,0.15059268183435884
sub-25,pixel,frontal,cca,0.059277159092748374
sub-25,hue,MT,cca,-0.04280649550327727
sub-25,hue,STS,cca,0.1313151086151508
sub-25,hue,temporal,cca,0.060056936072909115
sub-25,hue,frontal,cca,0.05920729959458586
sub-25,face,MT,cca,0.04041136102477616
sub-25,face,STS,cca,0.0922749238493056
sub-25,face,temporal,cca,0.16506327376328808
sub-25,face,frontal,cca,0.024869380145583396
sub-25,number of agents,MT,cca,0.015347818447407558
sub-25,number of agents,STS,cca,-0.02515673498953517
sub-25,number of agents,temporal,cca,0.01825840002816235
sub-25,number of agents,frontal,cca,0.024618183141797357
sub-25,social,MT,cca,0.05932009864627863
sub-25,social,STS,cca,0.09628164618424573
sub-25,social,temporal,cca,0.0918330409672485
sub-25,social,frontal,cca,0.06498141532916395
sub-25,valence,MT,cca,0.09659134886928164
sub-25,valence,STS,cca,0.06877213370168467
sub-25,valence,temporal,cca,0.20408174639173185
sub-25,valence,frontal,cca,0.15387708893101051
sub-25,arousal,MT,cca,-0.08216331892035225
sub-25,arousal,STS,cca,0.04142372121111446
sub-25,arousal,temporal,cca,0.027075376344883995
sub-25,arousal,frontal,cca,-0.06069342667491939
sub-25,pitch,MT,cca,0.07164512336041592
sub-25,pitch,STS,cca,-0.07262719647450924
sub-25,pitch,temporal,cca,0.012340314833804423
sub-25,pitch,frontal,cca,-0.04535837209156986
sub-25,amplitude,MT,cca,-0.06427229088568458
sub-25,amplitude,STS,cca,-0.08262254166688576
sub-25,amplitude,temporal,cca,0.00938229703332023
sub-25,amplitude,frontal,cca,-0.032806355172756055
sub-25,music,MT,cca,-0.03501648979915637
sub-25,music,STS,cca,-0.026834458104691716
sub-25,music,temporal,cca,0.06551413204416005
sub-25,music,frontal,cca,0.05318209946704855
sub-25,speaking,MT,cca,-0.03627730649162027
sub-25,speaking,STS,cca,0.09902478019608178
sub-25,speaking,temporal,cca,0.09133465791211419
sub-25,speaking,frontal,cca,0.017488569785306506
sub-25,turn taking,MT,cca,0.02758336272995563
sub-25,turn taking,STS,cca,0.051786428549375985
sub-25,turn taking,temporal,cca,0.079624830699677
sub-25,turn taking,frontal,cca,-0.05533234514291228
sub-25,mentalization,MT,cca,0.05519510519433415
sub-25,mentalization,STS,cca,0.08386906346194829
sub-25,mentalization,temporal,cca,0.09500064562706348
sub-25,mentalization,frontal,cca,-0.004803947130328901
sub-25,written text,MT,cca,0.03744834847741305
sub-25,written text,STS,cca,0.023674501438857833
sub-25,written text,temporal,cca,0.04623678237628983
sub-25,written text,frontal,cca,0.03240848773035232
sub-26,pixel,MT,cca,0.08865060914474743
sub-26,pixel,STS,cca,0.08714458275937656
sub-26,pixel,temporal,cca,-0.051854761371643174
sub-26,pixel,frontal,cca,0.20222196548958102
