subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,cross-subject encoding (MT+STS+language),cross-subject encoding (ISC),num_voxels,proportion_voxels,averaged_localizer_runs,averaged_response_runs
sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,right,aSTS,joint,NA,1.101390730155901,-0.19425452780023234,0.037636793360988484,0.5335792818721646,0.5337391250675444,111.66666666666667,0.8933333333333334,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,joint,NA,5.640448511845897,-0.04780870380513244,0.13511536359416518,0.32928521417690665,0.29725118618987134,16.666666666666668,0.09689922480620154,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact&no_interact,no_interact,right,MT,joint,NA,4.418791845935199,0.1414061149244032,0.09575660722234412,0.6524046452775313,0.6665681773690849,155.33333333333334,0.9031007751937984,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact&no_interact,interact,left,MT,joint,NA,4.803334646324794,-0.04780870380513244,0.13511536359416518,0.32928521417690665,0.29725118618987134,16.666666666666668,0.09689922480620154,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact&no_interact,interact,right,MT,joint,NA,4.092585314455414,0.1414061149244032,0.09575660722234412,0.6524046452775313,0.6665681773690849,155.33333333333334,0.9031007751937984,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,pSTS,joint,NA,0.12632732536590005,-0.15023574351715968,0.0684457513740578,0.6245338214544226,0.5958544020877734,22.333333333333332,0.07444444444444444,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,aSTS,joint,NA,-0.040429794386623426,0.1098364456427014,0.06730857785468568,0.6497008286957812,0.6294242011805057,37.0,0.29600000000000004,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,pSTS,joint,NA,0.10582042951999836,0.017730897668584367,0.030730794182292447,0.5441088172953679,0.5355663195570467,277.6666666666667,0.9255555555555556,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,aSTS,joint,NA,0.16085786914491831,-0.04209145039520243,0.0432402108778688,0.5483828325978384,0.5324996151048841,88.0,0.7040000000000001,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact-no_interact,interact,left,pSTS,joint,NA,0.39110228967679755,-0.15023574351715968,0.0684457513740578,0.6245338214544226,0.5958544020877734,22.333333333333332,0.07444444444444444,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact-no_interact,interact,left,aSTS,joint,NA,0.28474562425252853,0.1098364456427014,0.06730857785468568,0.6497008286957812,0.6294242011805057,37.0,0.29600000000000004,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact-no_interact,interact,right,pSTS,joint,NA,0.6599275659116027,0.017730897668584367,0.030730794182292447,0.5441088172953679,0.5355663195570467,277.6666666666667,0.9255555555555556,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact-no_interact,interact,right,aSTS,joint,NA,0.6197698141366577,-0.04209145039520243,0.0432402108778688,0.5483828325978384,0.5324996151048841,88.0,0.7040000000000001,"12,23,13","3,1,2"
sub-08,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,joint,NA,2.6020974307712272,0.0843227611904795,0.09683388162788135,0.5495703019652619,0.5211719363368781,91.66666666666667,0.5329457364341085,"12,23,13","3,1,2"
