subject,axis,mask1_name,mask2_name,mask1_measure_label,mask2_measure_label,hemi1,hemi2,hemi_label,corr,corr1,pvalue1
sub-14,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,left,left_left,0.18884367953836578,0.18884367953836578,3.4222589222427883e-34
sub-14,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.49463195096070767,0.49463195096070767,9.078052895820504e-252
sub-14,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.25543014366717626,0.25543014366717626,5.080093873172818e-62
sub-14,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,right,right_right,0.3787137848428953,0.3787137848428953,7.736829833617952e-140
sub-14,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.3589078067430044,0.3589078067430044,8.836885958292794e-125
sub-14,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.45902667069587105,0.45902667069587105,1.207849073692925e-212
sub-14,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.5246705244297563,0.5246705244297563,1.397013302921296e-288
sub-14,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.633003993605229,0.633003993605229,0.0
sub-14,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.10326962142874645,0.10326962142874645,3.4734862860709637e-11
sub-14,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.10326962142874645,0.10326962142874645,3.4734862860709637e-11
sub-14,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.6006566692544805,0.6006566692544805,0.0
sub-14,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.5041103749283034,0.5041103749283034,5.466429002161451e-263
sub-14,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.2671271388355028,0.2671271388355028,7.150102326111403e-68
sub-14,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.4294078575574233,0.4294078575574233,1.8452591406852378e-183
sub-14,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.7565438273223315,0.7565438273223315,0.0
sub-14,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.7565438273223315,0.7565438273223315,0.0
sub-15,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,left,right,left_right,0.8007220580578819,0.8007220580578819,0.0
sub-15,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,right,left,right_left,0.8007220580578819,0.8007220580578819,0.0
sub-15,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,left,left_left,0.3326339040874914,0.3326339040874914,2.1357240666519662e-106
sub-15,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.2296772112594302,0.2296772112594302,3.584109558263025e-50
sub-15,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.3639554685095618,0.3639554685095618,1.6182704715580944e-128
sub-15,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,right,right_right,0.2921331755088362,0.2921331755088362,2.118199271707786e-81
sub-15,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.33642134119957307,0.33642134119957307,6.138150709134396e-109
sub-15,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.319797031290665,0.319797031290665,4.7777815644299515e-98
sub-15,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.3025186726945849,0.3025186726945849,1.9409100091647544e-87
sub-15,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.3905876346896202,0.3905876346896202,2.207685160448643e-149
sub-15,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.49504953513952604,0.49504953513952604,2.958605647672631e-252
sub-15,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.49504953513952604,0.49504953513952604,2.958605647672631e-252
sub-15,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.4767226077082107,0.4767226077082107,1.646104247142352e-231
sub-15,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.4961022346817437,0.4961022346817437,1.7403088300145913e-253
sub-15,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.16809094706521963,0.16809094706521963,2.436166674238299e-27
sub-15,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.7514656445991994,0.7514656445991994,0.0
sub-15,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.17605926820450976,0.17605926820450976,7.154413354857277e-30
sub-15,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.17605926820450976,0.17605926820450976,7.154413354857277e-30
sub-16,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,left,right,left_right,0.7983837672516015,0.7983837672516015,0.0
sub-16,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,right,left,right_left,0.7983837672516015,0.7983837672516015,0.0
sub-16,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,left,left_left,0.3692497431033459,0.3692497431033459,1.644537022910966e-132
sub-16,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.25551979581207285,0.25551979581207285,4.593607010749292e-62
sub-16,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.4730159204813138,0.4730159204813138,1.8226385713624581e-227
sub-16,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,right,right_right,0.3934037416864108,0.3934037416864108,1.051302991007441e-151
sub-16,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.35723134287162456,0.35723134287162456,1.4880401594137818e-123
sub-16,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.499330165219321,0.499330165219321,2.758238698253096e-257
sub-16,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.37510939560478157,0.37510939560478157,5.10697371047884e-137
sub-16,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.5306585535588487,0.5306585535588487,2.2619059315211988e-296
sub-16,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.6909166935085894,0.6909166935085894,0.0
sub-16,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.6909166935085894,0.6909166935085894,0.0
sub-16,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.7427976125829248,0.7427976125829248,0.0
sub-16,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.6674763440831782,0.6674763440831782,0.0
sub-16,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.6539605164698445,0.6539605164698445,0.0
sub-16,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.7277903771277149,0.7277903771277149,0.0
sub-16,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.7718025198613446,0.7718025198613446,0.0
sub-16,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.7718025198613446,0.7718025198613446,0.0
sub-19,alexnet,intact-degraded-aTemp,intact-degraded-aTemp,language,language,left,right,left_right,0.6662686296696613,0.6662686296696613,0.0
sub-19,alexnet,intact-degraded-aTemp,intact-degraded-aTemp,language,language,right,left,right_left,0.6662686296696613,0.6662686296696613,0.0
sub-19,alexnet,intact-degraded-aTemp,intact-degraded-frontal,language,language,left,left,left_left,0.10075088342516078,0.10075088342516078,1.0296161052372945e-10
sub-19,alexnet,intact-degraded-aTemp,intact-degraded-frontal,language,language,left,right,left_right,0.5701572576650026,0.5701572576650026,0.0
