subject,feature,region,hemi,method,c_x,c_y,n_units_tuned
sub-09,arousal,STS,,cca,1e-05,0.03162277660168379,2
sub-09,pitch,MT,,cca,1.0,1.0,2
sub-09,pitch,STS,,cca,1.0,0.00031622776601683794,2
sub-09,amplitude,MT,,cca,1.0,0.00031622776601683794,2
sub-09,amplitude,STS,,cca,1.0,0.001,2
sub-09,music,MT,,cca,1.0,0.1,2
sub-09,music,STS,,cca,1.0,1.0,2
sub-09,speaking,MT,,cca,1e-05,0.01,2
sub-09,speaking,STS,,cca,1.0,0.31622776601683794,2
sub-09,turn_taking,MT,,cca,1e-05,0.03162277660168379,2
sub-09,turn_taking,STS,,cca,1.0,0.0031622776601683794,2
sub-09,mentalization,MT,,cca,1e-05,1e-05,2
sub-09,mentalization,STS,,cca,1e-05,0.001,2
sub-09,written_text,MT,,cca,1.0,0.0001,2
sub-09,written_text,STS,,cca,1e-05,0.0031622776601683794,2
sub-10,pixel,MT,,cca,1.0,0.00031622776601683794,2
sub-10,pixel,STS,,cca,0.1,1.0,1
sub-10,hue,MT,,cca,1e-05,1e-05,2
sub-10,hue,STS,,cca,0.31622776601683794,1e-05,1
sub-10,face,MT,,cca,1.0,0.31622776601683794,2
sub-10,face,STS,,cca,0.31622776601683794,0.31622776601683794,1
sub-10,num_agents,MT,,cca,1.0,0.0031622776601683794,2
sub-10,num_agents,STS,,cca,0.1,0.001,1
sub-10,social,MT,,cca,1.0,3.1622776601683795e-05,2
sub-10,social,STS,,cca,0.31622776601683794,1.0,1
sub-10,valence,MT,,cca,1.0,0.03162277660168379,2
sub-10,valence,STS,,cca,0.0001,0.03162277660168379,1
sub-10,arousal,MT,,cca,1.0,0.31622776601683794,2
sub-10,arousal,STS,,cca,0.1,0.0031622776601683794,1
sub-10,pitch,MT,,cca,1.0,0.00031622776601683794,2
sub-10,pitch,STS,,cca,0.1,0.0031622776601683794,1
sub-10,amplitude,MT,,cca,1e-05,0.1,2
sub-10,amplitude,STS,,cca,0.1,0.0031622776601683794,1
sub-10,music,MT,,cca,1e-05,0.0001,2
